indices,names,Priestley-Taylor alpha of snow [-],Priestley-Taylor alpha of bare ground [-],Priestley-Taylor alpha of canopy [-],Priestley-Taylor alpha of transpiration [-],"Beer's law extinction coefficient, shortwave [-]","Beer's law extinction coefficient, longwave [-]",snow transition depth [m],rooting depth max [m],leaf on time [doy],leaf off time [doy],rooting profile alpha [-],rooting profile beta [-],maximum xylem capillary pressure [Pa],albedo of bare ground [-],albedo of canopy [-],emissivity of bare ground [-],Manning's n [-]
11,Open Water,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,11.0,2.0,2240000,0.06,0.06,0.98,0.03
12,Perrenial Ice/Snow,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,11.0,2.0,2240000,0.2,0.11,0.95,0.05
21,"Developed, Open Space",1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,11.0,2.0,2750000,0.18,0.18,0.95,0.04
22,"Developed, Low Intensity",1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,11.0,2.0,2750000,0.18,0.18,0.95,0.09
23,"Developed, Medium Intensity",1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,11.0,2.0,2240000,0.15,0.15,0.95,0.12
24,"Developed, High Intensity",1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,11.0,2.0,2240000,0.15,0.15,0.95,0.16
31,Barren Land,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,11.0,2.0,2240000,0.2,0.2,0.95,0.026
41,Deciduous Forest,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,6.0,2.0,2240000,0.15,0.18,0.95,0.15
42,Evergreen Forest,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,7.0,2.0,2550000,0.12,0.1,0.97,0.12
43,Mixed Forest,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,7.0,2.0,2550000,0.12,0.12,0.97,0.14
51,Dwarf Scrub,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,7.0,1.5,4280000,0.18,0.18,0.95,0.11
52,Shrub/Scrub,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,7.0,1.5,4280000,0.18,0.18,0.95,0.11
71,Grassland/Herbaceous,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,11.0,2.0,2750000,0.18,0.18,0.95,0.04
72,Sedge/Herbaceous,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,11.0,2.0,2240000,0.2,0.11,0.95,0.05
73,Lichens,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,11.0,2.0,2240000,0.2,0.11,0.95,0.05
74,Moss,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,11.0,2.0,2240000,0.2,0.11,0.95,0.05
81,Pasture/Hay,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,11.0,2.0,2750000,0.18,0.18,0.95,0.04
82,Cultivated Crops,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,6.0,3.0,2750000,0.18,0.2,0.95,0.03
90,Woody Wetlands,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,6.0,2.0,2240000,0.12,0.15,0.95,0.1
95,Emergent Herbaceous Wetlands,1.26,1.26,1.26,1.26,0.6,5,0.02,100.0,-1,-1,11.0,2.0,2750000,0.15,0.15,0.95,0.07
